make,transmission,state,condition,odometer,auction_value,selling_price
honda,automatic,va,2.5,,9075.0,8000.0
toyota,automatic,nv,4.3,,14600.0,14200.0
chrysler,,tx,4,15634.0,20000.0,20000.0
nissan,,tn,4.9,28181.0,12650.0,14000.0
honda,automatic,nj,3.5,34455.0,12950.0,12300.0
chevrolet,automatic,va,3.4,41799.0,13800.0,12000.0
hyundai,automatic,tx,4.8,10884.0,21600.0,21400.0
,,wa,4,33094.0,11050.0,12500.0
,automatic,mo,,,15550.0,17000.0
bmw,,,,9779.0,30500.0,29750.0
toyota,automatic,fl,4,22568.0,,16200.0
chevrolet,automatic,nj,2.7,64726.0,21100.0,18600.0
ford,,ca,2,23066.0,18000.0,12100.0
dodge,,fl,,91698.0,8900.0,9400.0
hyundai,automatic,fl,2.9,23690.0,19950.0,18400.0
kia,automatic,nc,4.7,9845.0,18450.0,17900.0
toyota,automatic,ca,4.6,22321.0,13900.0,15250.0
chevrolet,automatic,va,2,63210.0,9500.0,6900.0
ford,automatic,pa,3.5,18342.0,11650.0,9800.0
nissan,automatic,fl,,26019.0,14500.0,14700.0
hyundai,automatic,ca,5,4006.0,16700.0,18600.0
chevrolet,automatic,,5,5221.0,14450.0,14800.0
chevrolet,automatic,ca,3.4,88804.0,11600.0,12000.0
nissan,automatic,il,,48405.0,14250.0,14700.0
ford,automatic,il,4.8,32673.0,17950.0,18600.0
chevrolet,automatic,tn,3,105516.0,6850.0,7000.0
toyota,automatic,ca,2.5,49861.0,10250.0,9600.0
hyundai,,fl,4.1,31706.0,16200.0,16900.0
hyundai,automatic,mi,4.7,51250.0,11600.0,11500.0
kia,automatic,fl,,47366.0,8950.0,9100.0
ford,manual,fl,4.1,14253.0,30400.0,13600.0
ford,automatic,ga,,,13250.0,13500.0
chevrolet,automatic,az,4.3,87119.0,,5800.0
chevrolet,automatic,ga,3,82014.0,11600.0,9900.0
kia,automatic,,4.2,11657.0,15550.0,15000.0
nissan,automatic,fl,4.6,27697.0,12350.0,12000.0
,automatic,ca,4.4,8913.0,,30000.0
ford,,ny,3.8,37459.0,11100.0,10500.0
nissan,automatic,tn,5,3890.0,15850.0,17000.0
chevrolet,automatic,ca,2.6,44880.0,18600.0,15500.0
,automatic,nj,,27541.0,,12600.0
nissan,automatic,tx,3.6,,15950.0,16200.0
dodge,automatic,fl,4.6,45100.0,15050.0,16000.0
hyundai,automatic,tx,,11010.0,12650.0,13700.0
ford,automatic,tx,3.5,33663.0,14600.0,16400.0
hyundai,manual,fl,2.9,,5700.0,4800.0
toyota,automatic,fl,4.5,11779.0,15700.0,15800.0
nissan,manual,fl,4.5,3134.0,29300.0,29800.0
hyundai,automatic,tx,4,48510.0,9975.0,10900.0
bmw,automatic,nj,,16383.0,,21900.0
toyota,automatic,fl,5,24260.0,10750.0,11200.0
ford,automatic,oh,4.9,,27700.0,26700.0
chevrolet,automatic,nc,3.4,209306.0,4850.0,4000.0
ford,automatic,il,4.4,21761.0,34100.0,38700.0
hyundai,automatic,az,3.5,94900.0,,7900.0
ford,automatic,mo,4.2,42038.0,16050.0,15500.0
ford,automatic,,3.6,50278.0,10650.0,10700.0
ford,automatic,nj,2.5,16583.0,10600.0,10000.0
,automatic,mn,4.3,29017.0,10650.0,10900.0
kia,,ca,5,32491.0,20400.0,20700.0
toyota,automatic,ca,3.8,33330.0,12900.0,14750.0
chrysler,automatic,ca,4.3,33794.0,16900.0,17200.0
dodge,automatic,tx,,15721.0,16700.0,15800.0
ford,automatic,ca,4.4,11463.0,18050.0,19000.0
ford,automatic,ga,4.7,14235.0,32600.0,31100.0
chevrolet,automatic,fl,3.5,40279.0,17950.0,18500.0
ford,automatic,tx,,99770.0,7500.0,8200.0
ford,automatic,,4.6,23967.0,25200.0,26400.0
dodge,automatic,az,2.9,50305.0,14300.0,15800.0
toyota,automatic,mo,4.9,28359.0,,35000.0
kia,automatic,ca,3.4,28035.0,9650.0,9900.0
chevrolet,automatic,ga,3.7,57202.0,10700.0,11300.0
ford,automatic,fl,2.7,38195.0,13450.0,9000.0
honda,automatic,ca,3.5,28068.0,14350.0,14300.0
ford,automatic,fl,3.7,68824.0,23400.0,23600.0
hyundai,,nv,3.8,33813.0,10700.0,10500.0
nissan,automatic,il,3.4,33459.0,13550.0,15300.0
dodge,automatic,ca,4.7,25442.0,27400.0,27900.0
ford,automatic,ca,3.9,42356.0,16800.0,18900.0
ford,automatic,md,4.6,24289.0,9775.0,10100.0
,,ga,4.8,20701.0,31800.0,30200.0
nissan,automatic,nv,4.4,18750.0,9500.0,11250.0
dodge,automatic,ga,4.1,,8075.0,10100.0
honda,automatic,pa,2.7,39506.0,11450.0,9600.0
bmw,automatic,nv,4.6,,22100.0,21750.0
hyundai,automatic,fl,4.3,,13500.0,13200.0
nissan,,in,2,9913.0,11950.0,4500.0
ford,automatic,nj,3.3,85045.0,11600.0,14100.0
,automatic,az,4.4,,38100.0,38200.0
ford,automatic,fl,2.5,28794.0,11950.0,9900.0
hyundai,automatic,va,4.9,60629.0,11950.0,12100.0
bmw,automatic,ca,4.3,35559.0,52500.0,53300.0
toyota,,pa,4.4,16328.0,39100.0,39400.0
ford,automatic,az,3.4,45611.0,16600.0,18300.0
ford,automatic,ny,,84205.0,16450.0,16800.0
ford,automatic,oh,3.3,51372.0,23300.0,20500.0
honda,,nj,4,,17450.0,17800.0
,automatic,fl,2.5,19240.0,17500.0,14800.0
toyota,automatic,pa,4.4,24140.0,15250.0,17300.0
,automatic,fl,4.4,12511.0,14500.0,13700.0
hyundai,automatic,fl,2.9,108862.0,10650.0,10400.0
dodge,automatic,il,4,19883.0,30700.0,32300.0
ford,automatic,nj,3.2,19828.0,22900.0,20200.0
kia,automatic,wa,4.8,,11100.0,11300.0
dodge,automatic,la,3,66792.0,11750.0,12500.0
honda,automatic,pa,,38741.0,13300.0,13700.0
ford,automatic,il,3.7,13490.0,20700.0,20300.0
nissan,,fl,3.7,40127.0,11350.0,12800.0
dodge,automatic,co,2.9,86326.0,12000.0,11500.0
ford,automatic,tx,3.7,24784.0,28300.0,25400.0
toyota,automatic,fl,2.7,55660.0,10400.0,10200.0
kia,automatic,nj,4.9,13247.0,,13700.0
chevrolet,automatic,mi,4,37183.0,23400.0,24100.0
ford,automatic,ca,2.5,30734.0,17950.0,14400.0
nissan,automatic,ca,3.6,,11650.0,12250.0
ford,,,4.1,,14400.0,15700.0
chevrolet,automatic,tn,3.6,,15850.0,15200.0
chevrolet,automatic,az,3.9,52632.0,16800.0,16500.0
chevrolet,automatic,mn,4.3,11207.0,14100.0,14700.0
ford,automatic,fl,4.6,,,14500.0
ford,automatic,ca,,19300.0,17650.0,18100.0
ford,automatic,fl,3.6,,9950.0,10100.0
chevrolet,automatic,tx,,,16800.0,19800.0
chevrolet,,,2.4,,7050.0,7000.0
,automatic,tn,2.8,98692.0,,7800.0
nissan,automatic,tn,3.6,,11300.0,13000.0
,,oh,3.5,50896.0,15400.0,15100.0
bmw,automatic,ca,4.9,21647.0,27800.0,29750.0
hyundai,automatic,fl,4.6,8001.0,12950.0,13200.0
toyota,automatic,fl,2.8,96483.0,9225.0,9600.0
hyundai,manual,pa,,5055.0,13950.0,12400.0
chevrolet,manual,tn,4.2,30901.0,24100.0,26000.0
,automatic,fl,4.5,10805.0,,15000.0
nissan,automatic,oh,1.9,144529.0,5000.0,5200.0
chevrolet,automatic,tn,4,,13950.0,15500.0
chevrolet,automatic,il,2,18330.0,15450.0,15700.0
nissan,automatic,fl,4.8,34833.0,12250.0,12200.0
ford,automatic,nj,2.8,,10600.0,9900.0
,automatic,mo,4.2,31217.0,,12300.0
ford,automatic,mi,4.2,69660.0,14850.0,11300.0
toyota,automatic,nj,4.4,28422.0,22400.0,22000.0
bmw,automatic,,2.9,91155.0,12050.0,11900.0
chevrolet,automatic,co,2.3,70847.0,8475.0,8700.0
dodge,automatic,fl,,30174.0,11600.0,12400.0
toyota,automatic,ne,3.6,35193.0,25300.0,24500.0
ford,automatic,mi,4.4,49892.0,21800.0,20700.0
bmw,automatic,ca,3.8,16360.0,65000.0,64250.0
,automatic,mo,4.3,36595.0,29300.0,29200.0
ford,automatic,ca,3.8,53724.0,13000.0,13700.0
toyota,automatic,fl,3.5,82889.0,,18400.0
dodge,automatic,nc,4.5,25485.0,16000.0,16100.0
nissan,automatic,fl,,40514.0,14750.0,14400.0
chevrolet,automatic,,4,12118.0,13900.0,14100.0
nissan,,tn,3.2,17613.0,15150.0,13800.0
honda,automatic,pa,3.6,43005.0,10750.0,10800.0
toyota,automatic,la,,,9775.0,9700.0
ford,automatic,ca,3.7,106402.0,8950.0,8750.0
,automatic,ga,4.1,43294.0,13500.0,13300.0
kia,,pr,4.6,4037.0,13450.0,14900.0
ford,automatic,ut,3.7,50878.0,21400.0,18000.0
hyundai,automatic,,4.3,67636.0,5975.0,8000.0
nissan,automatic,ca,4.3,36949.0,16800.0,18000.0
chevrolet,automatic,ut,1,15616.0,18050.0,7300.0
ford,automatic,ca,3.5,49405.0,18050.0,17800.0
hyundai,automatic,tx,1.9,59158.0,9200.0,8300.0
,automatic,ca,3.6,39106.0,23700.0,25900.0
chevrolet,automatic,tn,2.6,48130.0,,5900.0
nissan,,fl,4.4,40419.0,13050.0,13100.0
toyota,automatic,pr,3.9,15856.0,,10200.0
chevrolet,automatic,mn,,71477.0,14600.0,15300.0
ford,automatic,tx,,99808.0,10750.0,10500.0
kia,automatic,nc,4,61899.0,7550.0,7800.0
nissan,,tx,4.5,36631.0,14000.0,14100.0
nissan,automatic,in,3.8,73540.0,10800.0,11000.0
chevrolet,automatic,tx,3.5,38208.0,9400.0,9700.0
chevrolet,automatic,ga,4,48517.0,21900.0,22200.0
nissan,automatic,pa,3.1,61277.0,11600.0,11600.0
honda,automatic,il,2.5,47071.0,,8700.0
kia,automatic,ga,3.8,34981.0,14150.0,13900.0
chevrolet,automatic,pa,4.2,41010.0,11500.0,11900.0
dodge,,tx,3.3,62215.0,10700.0,10000.0
chevrolet,automatic,in,3.9,32897.0,18400.0,19300.0
ford,automatic,tn,4.1,28445.0,23300.0,23400.0
kia,automatic,ca,4.8,10174.0,13900.0,14200.0
dodge,automatic,fl,4.5,22081.0,27200.0,29900.0
toyota,,fl,4.3,84750.0,10100.0,10400.0
nissan,automatic,ca,,35299.0,13450.0,13250.0
ford,automatic,va,3.3,52792.0,12450.0,11900.0
nissan,automatic,,4.8,31291.0,17800.0,17800.0
ford,automatic,ca,3.2,71594.0,9875.0,10500.0
ford,automatic,tx,4.8,,16700.0,16100.0
honda,automatic,pa,3.2,32980.0,19000.0,18250.0
nissan,automatic,tx,2.5,33452.0,12100.0,12200.0
bmw,automatic,tx,3.7,22665.0,20200.0,19500.0
ford,automatic,il,4.9,34113.0,21900.0,16900.0
honda,automatic,pa,3.7,22132.0,15650.0,15300.0
ford,automatic,in,4.3,103154.0,9000.0,8500.0
nissan,automatic,oh,,25494.0,12450.0,13300.0
honda,automatic,nj,2.6,29432.0,,11300.0
,automatic,mn,4.4,17538.0,15000.0,15200.0
bmw,manual,pa,2.8,16376.0,24400.0,23750.0
chevrolet,automatic,pa,3.6,51953.0,10200.0,10200.0
chevrolet,,nc,3.7,41072.0,29800.0,29000.0
ford,automatic,ca,4.1,57710.0,12050.0,12600.0
honda,,ga,2,38623.0,22600.0,18800.0
nissan,automatic,pa,4.4,26533.0,17700.0,19000.0
ford,automatic,nj,4.4,,20300.0,20800.0
ford,automatic,tx,4.5,73485.0,36300.0,35100.0
chevrolet,automatic,nc,3.4,77016.0,,8100.0
ford,automatic,az,4.3,31876.0,16550.0,16300.0
ford,automatic,ca,4.1,28136.0,34400.0,34000.0
hyundai,automatic,ca,2.8,37126.0,13600.0,13000.0
kia,automatic,fl,4.7,5328.0,11700.0,11900.0
bmw,automatic,ca,4.6,51135.0,34800.0,34750.0
,automatic,fl,,33943.0,,11000.0
,automatic,tn,3.4,,15450.0,15600.0
hyundai,automatic,fl,2,43825.0,10950.0,11300.0
,automatic,ca,3,11758.0,20000.0,20300.0
ford,automatic,ga,3.2,27389.0,21600.0,20200.0
hyundai,,co,1.9,66990.0,7750.0,8000.0
bmw,automatic,,3.5,58110.0,15950.0,17100.0
nissan,automatic,wa,3.4,23465.0,13850.0,14400.0
chevrolet,automatic,nc,1.9,103614.0,3725.0,4800.0
nissan,automatic,fl,4.1,12722.0,,14400.0
ford,automatic,pa,,9142.0,11000.0,11200.0
ford,automatic,oh,4.4,79671.0,15950.0,18000.0
,automatic,oh,4.1,,5500.0,5400.0
hyundai,automatic,pa,4.8,11573.0,13500.0,11000.0
nissan,automatic,tn,4.4,19798.0,22500.0,23600.0
,automatic,pa,4.4,29008.0,17950.0,17000.0
ford,automatic,il,,27303.0,18000.0,18300.0
nissan,automatic,nj,3.6,21463.0,16500.0,15200.0
bmw,automatic,ca,4.3,49920.0,,35000.0
chrysler,automatic,il,3.6,60816.0,19600.0,18500.0
ford,automatic,ms,4.1,43560.0,,23700.0
chevrolet,automatic,fl,2.5,106903.0,4325.0,3000.0
bmw,automatic,nv,2.3,55174.0,26500.0,25200.0
nissan,automatic,fl,3,46841.0,10100.0,8500.0
chevrolet,automatic,,3.6,7685.0,10750.0,9800.0
bmw,automatic,nj,,63592.0,,23000.0
kia,automatic,tn,3.5,60164.0,19300.0,20600.0
,automatic,fl,3.9,46417.0,21900.0,22700.0
bmw,,nj,4.7,2588.0,42800.0,37500.0
chevrolet,automatic,nj,4.3,81610.0,8675.0,8600.0
nissan,automatic,ca,1,33667.0,13350.0,10000.0
ford,automatic,tn,4.8,21734.0,27100.0,25300.0
,automatic,tx,4,9998.0,42300.0,41000.0
chrysler,,pa,4,13445.0,21100.0,22000.0
ford,manual,ms,3.8,35209.0,14800.0,13200.0
hyundai,automatic,,3.7,32612.0,11700.0,11800.0
ford,automatic,tn,3.5,31548.0,,13500.0
chrysler,automatic,pa,4,13390.0,19650.0,19600.0
ford,automatic,,3.8,40079.0,,16600.0
toyota,automatic,fl,3.5,50826.0,16450.0,17600.0
,automatic,,4,9930.0,14000.0,14300.0
kia,automatic,ca,3.8,23612.0,13450.0,14000.0
chrysler,automatic,mo,4.9,25827.0,23300.0,22800.0
ford,automatic,fl,4,106822.0,20500.0,18000.0
nissan,automatic,mo,4.3,39372.0,13250.0,15800.0
ford,automatic,mi,3.5,,9150.0,6800.0
honda,,fl,1.9,52106.0,11400.0,8200.0
kia,automatic,wi,4.6,11491.0,12550.0,12900.0
ford,automatic,mi,4.5,60780.0,17050.0,17800.0
chrysler,automatic,va,4.2,2217.0,17400.0,14500.0
ford,automatic,il,2.7,29663.0,13800.0,12300.0
bmw,automatic,oh,4.2,5106.0,34000.0,54500.0
ford,automatic,tx,5,,17950.0,18800.0
honda,automatic,tx,4,13421.0,16800.0,18000.0
honda,automatic,ca,2.9,32577.0,17850.0,16900.0
nissan,automatic,,4.6,21992.0,10750.0,10400.0
ford,automatic,,4.5,,,17500.0
nissan,automatic,nc,,55117.0,10900.0,11100.0
,automatic,nc,3.7,74845.0,8875.0,8900.0
ford,automatic,ms,4.5,14608.0,12850.0,13100.0
hyundai,automatic,tx,3.9,59781.0,8375.0,9000.0
honda,automatic,ga,2.8,111913.0,9225.0,6900.0
toyota,automatic,,3.9,61238.0,11050.0,9500.0
honda,automatic,,4.2,59393.0,10500.0,11500.0
,automatic,ca,2.5,45183.0,12950.0,10500.0
ford,automatic,az,3.7,40243.0,10800.0,10400.0
chevrolet,automatic,az,2.4,29094.0,12200.0,10700.0
dodge,,wa,4.3,40340.0,12300.0,12100.0
ford,automatic,pa,4.9,40978.0,10800.0,10800.0
ford,automatic,fl,4.5,15460.0,27700.0,25800.0
toyota,,fl,,25846.0,,11300.0
toyota,automatic,ga,2,32229.0,,9900.0
dodge,automatic,va,4,99017.0,8875.0,9800.0
nissan,automatic,tn,4.3,,15500.0,14000.0
dodge,automatic,,4.1,92332.0,7550.0,6500.0
dodge,automatic,az,3.5,90136.0,9450.0,9900.0
ford,automatic,il,5,19081.0,21800.0,22200.0
nissan,automatic,fl,3.5,39658.0,11650.0,11000.0
toyota,automatic,az,2,90247.0,8375.0,7700.0
,,il,4,32761.0,14350.0,15200.0
ford,automatic,nj,,32391.0,15650.0,16700.0
chevrolet,automatic,ca,,20430.0,42400.0,41250.0
ford,automatic,fl,3.5,37153.0,,24300.0
kia,automatic,fl,4.1,37719.0,11350.0,11300.0
bmw,manual,oh,4.3,4643.0,,34750.0
ford,automatic,mi,4.2,23268.0,21600.0,19700.0
bmw,automatic,oh,4.4,8606.0,36900.0,35750.0
toyota,automatic,ga,2.8,7767.0,,11200.0
ford,automatic,sc,3.7,69062.0,9600.0,9900.0
ford,automatic,,4.2,48040.0,38200.0,40000.0
kia,,nj,5,9477.0,17950.0,17900.0
chevrolet,automatic,,3.9,24937.0,8825.0,8400.0
toyota,automatic,ga,,13593.0,22000.0,22200.0
hyundai,automatic,va,4.8,15004.0,20100.0,20000.0
chevrolet,automatic,nc,1.9,33614.0,17800.0,10500.0
ford,automatic,oh,4.2,28239.0,15250.0,14100.0
ford,automatic,tn,,75320.0,18800.0,16900.0
nissan,automatic,ca,4.2,58821.0,11800.0,12100.0
chrysler,automatic,md,4.8,59524.0,8725.0,9000.0
ford,automatic,mo,4.6,6930.0,37600.0,39100.0
honda,automatic,ga,3.8,22378.0,13700.0,12500.0
hyundai,automatic,il,3.5,,14100.0,13800.0
,automatic,fl,3.7,77804.0,8400.0,9000.0
ford,automatic,oh,4.4,26077.0,10200.0,10500.0
nissan,automatic,wa,4.3,10312.0,13650.0,16300.0
nissan,,il,3.9,46787.0,,16200.0
toyota,automatic,ma,2.7,,15450.0,13800.0
ford,automatic,mo,,38268.0,15050.0,14600.0
chevrolet,automatic,fl,3,39518.0,,12700.0
nissan,automatic,nv,3.7,42057.0,9525.0,10300.0
nissan,automatic,ca,3.9,63526.0,,12500.0
nissan,automatic,fl,2.5,16044.0,9900.0,9100.0
nissan,,ca,,3820.0,13550.0,14500.0
ford,automatic,il,4.4,53305.0,16350.0,16400.0
toyota,automatic,fl,1.9,47733.0,11750.0,9500.0
toyota,automatic,oh,4.4,47115.0,13400.0,13100.0
ford,automatic,tx,4.4,83029.0,8275.0,9500.0
kia,automatic,tn,2.7,30960.0,11650.0,10200.0
,automatic,mi,4.3,46237.0,21800.0,19300.0
ford,automatic,nj,3.6,24850.0,9250.0,10600.0
ford,automatic,tn,,33717.0,9075.0,9100.0
,automatic,in,4.1,,11700.0,12400.0
ford,automatic,oh,3.9,90211.0,13000.0,13400.0
kia,automatic,nv,4.2,11428.0,12550.0,13100.0
ford,,tx,4.9,30591.0,31300.0,33200.0
toyota,automatic,nj,1.9,16062.0,15600.0,13700.0
ford,automatic,nv,2.9,33275.0,8250.0,7400.0
chevrolet,automatic,ut,2.4,48466.0,9300.0,8600.0
chevrolet,automatic,tx,1.9,,15400.0,14000.0
toyota,automatic,ga,4.3,28609.0,12550.0,12700.0
ford,,il,4.9,25875.0,30500.0,31700.0
honda,automatic,,,53487.0,,8700.0
toyota,automatic,ga,2.2,35269.0,12850.0,12000.0
toyota,automatic,co,,23214.0,28900.0,29100.0
chevrolet,automatic,,3.5,53389.0,10750.0,10900.0
chevrolet,automatic,fl,4,10842.0,12250.0,11900.0
nissan,automatic,tn,3,40644.0,21500.0,21700.0
chevrolet,automatic,fl,,63695.0,9150.0,9101.0
chevrolet,automatic,mi,2.8,50975.0,11700.0,11300.0
ford,automatic,ca,4.2,49061.0,18450.0,19400.0
chevrolet,automatic,,4,83738.0,13550.0,13200.0
honda,automatic,pa,3.1,,,16900.0
nissan,automatic,nc,4.4,39170.0,16650.0,17900.0
chevrolet,automatic,mo,3.5,59911.0,7950.0,9000.0
nissan,automatic,md,2.9,55390.0,10900.0,10700.0
bmw,automatic,wi,3.8,44359.0,34400.0,34000.0
honda,automatic,pr,4.2,52498.0,7600.0,7000.0
chevrolet,automatic,tn,,,26600.0,29600.0
chevrolet,automatic,ca,3.8,53678.0,10350.0,10300.0
nissan,automatic,nj,3.6,59586.0,10550.0,10100.0
ford,automatic,mi,4.7,6164.0,20500.0,20600.0
,automatic,ca,3.9,35239.0,13050.0,14200.0
toyota,,fl,3.7,35972.0,14700.0,13700.0
nissan,automatic,nj,3.4,23380.0,14050.0,17500.0
hyundai,automatic,tx,3.7,,9675.0,10200.0
dodge,,in,1.9,63459.0,7975.0,6100.0
honda,automatic,ca,2.5,51201.0,18900.0,17000.0
toyota,automatic,,4.8,61167.0,24300.0,25500.0
chrysler,automatic,in,4.4,5624.0,24000.0,26000.0
chevrolet,automatic,,3.5,41147.0,14500.0,13400.0
nissan,automatic,la,2.8,57784.0,10750.0,11000.0
hyundai,automatic,nv,4.7,16349.0,14400.0,14400.0
ford,automatic,tn,3.6,14494.0,12400.0,10400.0
chevrolet,automatic,mi,4,15148.0,15250.0,14500.0
toyota,automatic,pa,4,87150.0,22000.0,21700.0
honda,automatic,ca,3.7,29865.0,16000.0,17000.0
nissan,automatic,tn,4.4,20574.0,10800.0,11600.0
nissan,automatic,ca,,37766.0,11500.0,10000.0
chevrolet,automatic,tx,4.2,37785.0,39600.0,39400.0
hyundai,automatic,tn,4.4,43322.0,15050.0,14900.0
hyundai,automatic,ga,2.8,20997.0,13250.0,11800.0
toyota,automatic,fl,,34894.0,15250.0,13350.0
chevrolet,automatic,ca,3.2,101858.0,6675.0,6700.0
ford,automatic,co,3.9,99994.0,19550.0,22000.0
honda,automatic,nc,3.7,74303.0,14700.0,15800.0
chevrolet,automatic,il,4,15449.0,21400.0,21100.0
ford,automatic,ga,4.2,8287.0,12600.0,11400.0
nissan,automatic,tx,3.8,38875.0,17000.0,12800.0
nissan,automatic,,4.3,53006.0,9975.0,11000.0
ford,automatic,il,4.8,15487.0,10700.0,10400.0
hyundai,automatic,mn,4.9,14257.0,,16700.0
,,ga,4.7,39108.0,16050.0,16700.0
ford,,fl,,8709.0,20300.0,21000.0
ford,automatic,co,4.6,40505.0,12300.0,13300.0
ford,automatic,ny,4.3,81400.0,9375.0,8800.0
ford,automatic,fl,2.5,20267.0,11450.0,9200.0
bmw,automatic,ca,4.3,9463.0,,44000.0
nissan,automatic,fl,3.9,36694.0,13350.0,12600.0
toyota,automatic,nj,3.6,55921.0,10750.0,11000.0
chevrolet,automatic,mo,4.6,36532.0,11400.0,12300.0
nissan,automatic,tx,4.4,29217.0,,13000.0
nissan,automatic,oh,4.2,51936.0,,12600.0
nissan,automatic,pa,,,17150.0,15500.0
bmw,automatic,nv,4.5,29339.0,23900.0,25500.0
dodge,automatic,pa,2,28404.0,10950.0,10000.0
chevrolet,automatic,,4.1,70828.0,8350.0,10350.0
hyundai,automatic,fl,2.2,40554.0,11800.0,11500.0
ford,automatic,il,4.3,23930.0,18150.0,18400.0
hyundai,automatic,oh,4.1,42437.0,14650.0,15800.0
hyundai,,ga,4.5,17581.0,15250.0,16200.0
chevrolet,automatic,il,4.7,63451.0,32100.0,32400.0
ford,,pa,3.5,114802.0,16350.0,15500.0
chevrolet,,pa,4,94228.0,17700.0,16800.0
nissan,automatic,oh,3.9,50830.0,12350.0,12300.0
ford,automatic,nj,3.9,62256.0,12050.0,12300.0
,automatic,ca,3.4,57989.0,8925.0,9000.0
ford,automatic,il,4.5,34613.0,19900.0,22100.0
ford,,tx,,58475.0,36700.0,37250.0
toyota,automatic,mn,3.8,50940.0,,11100.0
dodge,automatic,tx,,102183.0,7975.0,8100.0
honda,automatic,nj,3.4,30399.0,,13100.0
chevrolet,automatic,mi,,17516.0,15900.0,17400.0
toyota,automatic,oh,4.1,38503.0,13050.0,12700.0
,automatic,,1.9,55619.0,8800.0,6900.0
honda,automatic,nj,3.7,37429.0,11600.0,11300.0
hyundai,,la,4.2,39032.0,11450.0,14400.0
honda,automatic,wi,4.6,45742.0,21600.0,21750.0
honda,automatic,fl,2.6,158026.0,6675.0,6700.0
,automatic,sc,4,28817.0,16700.0,12300.0
dodge,automatic,nc,3.9,32669.0,11850.0,11700.0
chevrolet,automatic,wi,2.9,42142.0,38900.0,38500.0
,automatic,ca,4.5,39404.0,11700.0,10250.0
chevrolet,automatic,ga,,68852.0,,18700.0
ford,automatic,mi,4.3,,14250.0,13400.0
ford,automatic,pa,1.9,109372.0,5475.0,3300.0
toyota,automatic,fl,4,10505.0,15700.0,16000.0
nissan,automatic,fl,3.3,37099.0,11800.0,13400.0
nissan,automatic,nv,3.9,24161.0,19900.0,19250.0
toyota,automatic,,2.4,39505.0,13400.0,12800.0
dodge,automatic,tx,3.7,92291.0,8575.0,9600.0
chevrolet,automatic,fl,4,24687.0,23900.0,23700.0
ford,automatic,ga,4.5,25212.0,,25000.0
,automatic,oh,,5800.0,24600.0,24900.0
honda,automatic,mo,,26396.0,11300.0,11200.0
toyota,automatic,oh,4.2,43527.0,13850.0,13900.0
,automatic,md,3.5,40526.0,12700.0,11900.0
chevrolet,automatic,md,2.1,33583.0,13150.0,10300.0
,automatic,mi,4.1,35892.0,25600.0,25500.0
nissan,manual,pa,5,2689.0,11500.0,8300.0
ford,automatic,,2.8,110009.0,15900.0,13500.0
dodge,automatic,ga,2.9,55705.0,13150.0,13200.0
ford,automatic,mi,4.4,29955.0,14100.0,15000.0
chevrolet,automatic,tx,4,21736.0,41200.0,42250.0
,automatic,ga,1.9,42522.0,11000.0,8900.0
,automatic,ca,4.4,20003.0,28500.0,30000.0
dodge,automatic,ca,2.8,40230.0,16800.0,17000.0
chevrolet,automatic,la,4,,23600.0,24200.0
chevrolet,automatic,mi,4.5,25031.0,12350.0,12100.0
honda,automatic,pa,3.5,23420.0,12850.0,12300.0
ford,automatic,oh,5,21469.0,31200.0,32200.0
chevrolet,automatic,tx,3.7,67299.0,12400.0,12000.0
honda,,nj,2.5,48274.0,,17700.0
dodge,,nj,3.8,49167.0,8475.0,9500.0
ford,automatic,wi,1.9,56360.0,5425.0,4400.0
nissan,automatic,fl,2.7,15449.0,14550.0,13600.0
chevrolet,automatic,,3.4,39601.0,11150.0,11200.0
nissan,automatic,wa,4.2,37144.0,11900.0,15100.0
,automatic,,4,19068.0,13300.0,13300.0
,automatic,tx,2.9,83928.0,9950.0,10600.0
,automatic,wa,4.2,10804.0,17400.0,17200.0
ford,automatic,oh,3.9,54912.0,9575.0,8100.0
chrysler,automatic,az,3.3,44006.0,10650.0,11700.0
toyota,automatic,ga,4.5,33891.0,12850.0,13800.0
dodge,automatic,tn,4.2,20532.0,11600.0,11300.0
chevrolet,automatic,pa,2,46478.0,8075.0,3600.0
kia,automatic,oh,3.7,37185.0,10950.0,9600.0
kia,automatic,oh,4.7,24203.0,20700.0,19700.0
chevrolet,automatic,mn,4.5,42535.0,,18300.0
toyota,automatic,fl,,,14500.0,14000.0
toyota,,oh,5,36928.0,13050.0,13700.0
ford,,ny,3.4,81547.0,9000.0,8000.0
nissan,automatic,ga,4.1,7638.0,10100.0,11000.0
hyundai,automatic,fl,3.9,19264.0,13350.0,13200.0
ford,automatic,mi,3.7,64135.0,18750.0,18500.0
chevrolet,automatic,oh,3.1,101083.0,4700.0,5500.0
ford,automatic,co,4.8,14367.0,28800.0,29100.0
ford,automatic,ut,2.4,26081.0,26800.0,23000.0
ford,automatic,fl,4.8,28866.0,26600.0,26600.0
ford,automatic,pr,3.5,63874.0,10800.0,6700.0
chrysler,automatic,,3.5,11159.0,12400.0,12500.0
hyundai,automatic,mo,3.8,41231.0,11100.0,10900.0
honda,automatic,,4.2,48761.0,21100.0,23200.0
toyota,,ca,,57167.0,13400.0,15200.0
,automatic,mi,3.4,61310.0,28600.0,26600.0
ford,automatic,,4.8,55338.0,,23300.0
nissan,automatic,il,4.2,15844.0,13100.0,14200.0
,automatic,,3.5,37756.0,11400.0,10400.0
